Census_ID	Species_ID	Species	Cave_Name	Cave_ID	Reference_Short	Reference_ID
20891	196	Cordioniscus beroni Vandel, 1968	Spilaio sta Pelekita	69	Beron 2016|Schmalfuss et al. 2004	706|572
20892	196	Cordioniscus beroni Vandel, 1968	Varathro Xepatomenos Tafkos	178	Beron 2016|Schmalfuss et al. 2004	706|572
28807	197	Cordioniscus graecus Vandel, 1959	Spilaio Kerateas	7	Alexiou & Sfenthourakis 2013|Beron 2016|Schmalfuss & Erhard 1998|Schmalfuss 1979|Dalens 1970|Vandel 1968|Schmölzer 1965|Vandel 1959	673|706|520|317|228|213|198|168
15046	198	Cordioniscus graevei Schmalfuss & Erhard, 1998	Spilaio Alistratis	59	Schmalfuss 2003|Alexiou & Sfenthourakis 2013|Schmalfuss & Erhard 1998|Beron 2016	552|673|520|706
15083	199	Cordioniscus kalimnosi Andreev, 1997	Spilaio Epta Parthenon	179	Beron 2016|Andreev & Bozarova 2000|Andreev 1997	706|526|504
15084	199	Cordioniscus kalimnosi Andreev, 1997	Spilaio Skalion	180	Beron 2016|Andreev 1997	706|504
20910	200	Cordioniscus kithnosi Andreev, 1986	Spilaio Katafygi	40	Alexiou & Sfenthourakis 2013|Schmalfuss 2003|Andreev 1986|Schmalfuss & Erhard 1998|Beron 2016|Andreev & Bozarova 2000	673|552|417|520|706|526
16494	201	Cordioniscus paragamiani Schmalfuss & Erhard, 1998	Spilaio Peristeri	181	Beron 2016|Schmalfuss & Erhard 1998|Alexiou & Sfenthourakis 2013	706|520|673
20917	202	Cordioniscus vandeli Dalens, 1970	Spilaio Agias Elenis	35	Dalens 1970|Schmalfuss 1979|Andreev 1986|Schmalfuss & Erhard 1998|Beron 2016|Alexiou & Sfenthourakis 2013	228|317|417|520|706|673
20918	202	Cordioniscus vandeli Dalens, 1970	Spilaio Mavri Trypa	10	Beron 2016|Andreev 1986|Schmalfuss & Erhard 1998	706|417|520
15383	203	Crenobia alpina (Dana, 1766)	Spilaio Panos	8	Beron 2016|Lindberg 1955d	706|145
30767	204	Cretodesmus obliquus Strasser, 1974	Spilaio Koumarospilios	23	Strasser 1974|Beron 2016|Felesaki et al. 2010	258|706|636
30923	204	Cretodesmus obliquus Strasser, 1974	Spilaio Katholikou	21	Strasser 1974|Beron 2016|Felesaki et al. 2010	258|706|636
25922	206	Crustulina scabripes Simon, 1881	Spilaio Nychteridon	70	Brignoli 1984|Beron 2016|Bosmans & Chatzaki 2005	389|706|579
2684	207	Cryptophagus sp.	Spilaio Nymfolyptou	50	Beron 2016	706
12763	207	Cryptophagus sp.	Spilaio Ntaveli	128	Coiffait 1955|Beron 2016	134|706
15389	384	Cryptophonus tenebrosus (Dejean, 1829)	Spilaia Faias Petras	186	Lindberg 1955d	145
30655	208	Cryptops anomalans Newport, 1844	Spilaio Lavyrinthos Gortinas	24	Zapparoli 2002|Attems 1902	544|18
30924	208	Cryptops anomalans Newport, 1844	Spilaio Katholikou	21	Zapparoli 2002|Chamberlin 1956|Beron 2016	544|150|706
30925	209	Cryptops beroni Matic & Stavropoulos, 1988	Spilaio Katholikou	21	Chamberlin 1956|Zapparoli 2002|Matic & Stavropoulos 1988|Zapparoli 1994|Beron 2016|Stoev & Beron 2000	150|544|440|479|706|1202
30697	210	Cryptops dianae Stavropoulos & Matic, 1990	Spilaio Drakotrypa	38	Stavropoulos & Matic 1990|Zapparoli 2002|Stoev & Beron 2000|Beron 2016|Matic & Stavropoulos 1993	1204|544|1202|706|1205
15396	212	Cylisticus convexus (De Geer, 1778)	Spilaio Paparadon	56	Beron 2016|Schmalfuss 1979|Vandel 1946	706|317|112
