Census_ID	Species_ID	Species	Cave_Name	Cave_ID	Reference_Short	Reference_ID
20631	752	Schizidium perplexum (Vandel, 1958)	Spilaio Trypa sto Seli	401	Beron 2016|Schmalfuss et al. 2004	706|572
20633	752	Schizidium perplexum (Vandel, 1958)	Spilaio Achnistres	394	Beron 2016|Schmalfuss et al. 2004	706|572
20634	752	Schizidium perplexum (Vandel, 1958)	Spilaio Achnistres	395	Beron 2016|Schmalfuss et al. 2004	706|572
20635	752	Schizidium perplexum (Vandel, 1958)	Varathro Latsida sta Lakkia	402	Beron 2016|Schmalfuss et al. 2004	706|572
20637	752	Schizidium perplexum (Vandel, 1958)	Spilaio Agiou Stavrou	396	Beron 2016|Schmalfuss et al. 2004	706|572
20638	752	Schizidium perplexum (Vandel, 1958)	Spilaio Tou Sfakianou i Trypa	400	Beron 2016|Schmalfuss et al. 2004	706|572
20639	752	Schizidium perplexum (Vandel, 1958)	Spilaio Apoloustres	363	Beron 2016|Schmalfuss et al. 2004	706|572
20641	752	Schizidium perplexum (Vandel, 1958)	Varathro Xepatomeni Latsida	403	Beron 2016|Schmalfuss et al. 2004	706|572
43837	752	Schizidium perplexum (Vandel, 1958)	Spilaio Diktaio Antro	16	Paragamian et al. 1987|Schmalfuss et al. 2004|Beron 2016	426|572|706
44136	752	Schizidium perplexum (Vandel, 1958)	Spilaio Vreikou	89	Schmalfuss et al. 2004|Beron 2016	572|706
44178	752	Schizidium perplexum (Vandel, 1958)	Spilaio Mikro Katofygi	361	Paragamian et al. 1987|Schmalfuss et al. 2004|Beron 2016	426|572|706
44316	752	Schizidium perplexum (Vandel, 1958)	Spilaio Trapeza	247	Schmalfuss 1979|Andreev 1986|Paragamian et al. 1987|Schmalfuss et al. 2004|Beron 2016	317|417|426|572|706
44773	752	Schizidium perplexum (Vandel, 1958)	Spilaio Agias Paraskevis	13	Vandel 1958|Schmalfuss 1972b|Schmalfuss 1975|Schmalfuss 1979|Paragamian & Legakis 1986|Paragamian et al. 1987|Schmalfuss et al. 2004|Beron 2016	163|248|267|317|414|426|572|706
44981	752	Schizidium perplexum (Vandel, 1958)	Spilaio Peristera	184	Vandel 1958|Schmalfuss 1972b|Schmalfuss 1975|Schmalfuss 1979|Paragamian et al. 1987|Schmalfuss et al. 2004|Beron 2016	163|248|267|317|426|572|706
46567	752	Schizidium perplexum (Vandel, 1958)	Spilaio Milatou	15	Vandel 1958|Schmalfuss 1972b|Schmalfuss 1975|Schmalfuss 1979|Paragamian et al. 1987|Schmalfuss et al. 2004|Beron 2016	163|248|267|317|426|572|706
40609	753	Sciocochlea collasi (Sturany, 1904)	Spilaio Katsouri	66	Reischütz et al. 2016|Gittenberger 2000|Gittenberger 1986|Gittenberger 1985|Gittenberger 1977|Wolf 1938|Wolf 1937b|Sturany 1904	716|1180|416|398|285|97|92|22
14022	909	Sciocochlea nordsiecki Subai, 1993	Spilaio Agiou Neilou	446	Subai 1993|Reischütz et al. 2016	1181|716
38753	754	Scoliopteryx sp.	Spilaio Gouva II	298	Bonzano & Calandri 1984|Beron 2016	387|706
19322	755	Scolopendra cingulata Latreille, 1829	Spilaio Naousas	404	Attems 1959	167
20037	756	Scolopendra cretica Attems, 1902	Spilaio Kamilari	74	Chamberlin 1956	150
