Census_ID	Species_ID	Species	Cave_Name	Cave_ID	Reference_Short	Reference_ID
36919	68	Aporrectodea caliginosa (Savigny, 1826)	Spilaio Diktaio Antro	16	Omodeo 1956a|Beron 2016|Szederjesi et al. 2017	149|706|724
36920	68	Aporrectodea caliginosa (Savigny, 1826)	Spilaio Za	20	Szederjesi et al. 2017|Szederjesi 2015	724|696
36962	69	Aporrectodea rosea (Savigny, 1826)	Spilaio Agias Triadas Tzagkarolon	107	Omodeo 1956a|Beron 2016	149|706
36963	69	Aporrectodea rosea (Savigny, 1826)	Spilaio Koutrouli	52	Omodeo 1956a|Beron 2016	149|706
36964	69	Aporrectodea rosea (Savigny, 1826)	Spilaio Panagias Arkoudiotisas	68	Omodeo 1956a|Beron 2016	149|706
36965	69	Aporrectodea rosea (Savigny, 1826)	Spilaio Agias Sofias	22	Omodeo 1956a|Beron 2016	149|706
36966	69	Aporrectodea rosea (Savigny, 1826)	Spilaio Foli Spilios	108	Omodeo 1956a|Beron 2016	149|706
36967	69	Aporrectodea rosea (Savigny, 1826)	Spilaio Agias Paraskevis	13	Omodeo 1956a|Beron 2016|Omodeo 1956b	149|706|153
36968	69	Aporrectodea rosea (Savigny, 1826)	Spilaio Kamilari	74	Omodeo 1956a|Beron 2016	149|706
36970	69	Aporrectodea rosea (Savigny, 1826)	Spilaio Kato Marathospilios	75	Omodeo 1956a|Beron 2016	149|706
36971	69	Aporrectodea rosea (Savigny, 1826)	Spilaio Za	20	Szederjesi 2015|Szederjesi et al. 2017	696|724
37510	69	Aporrectodea rosea (Savigny, 1826)	Spilaio Kamilari IΙ	109	Omodeo 1956a|Beron 2016	149|706
14886	71	Arctodiaptomus byzantinus Mann, 1940	Spilaio Katafygi Dirou	14	Lindberg 1955d|Beron 2016	145|706
4932	72	Armadillidium bicurvatum Verhoeff, 1901	Spilaio Mikri Grava	111	Strouhal 1966	205
4934	74	Armadillidium corcyraeum Verhoeff, 1901	Spilaio Mikri Grava	111	Strouhal 1966	205
26946	75	Armadillidium frontetriangulum Verhoeff, 1901	Spilaio Megali Grava	4	Strouhal 1966	205
20519	76	Armadillidium granulatum Brandt, 1833	Spilaio Spiliara Almyrou	114	Schmalfuss 1979|Schmalfuss 1972b|Beron 2016	317|248|706
20520	76	Armadillidium granulatum Brandt, 1833	Spilaio Agiou Ioanni	1	Beron 2016|Beron 1985	706|399
31086	77	Armadillidium kalamatense Verhoeff, 1907	Spilaio Glyfadas Dirou	29	Schmalfuss 2006	599
20505	78	Armadillidium vulgare Latreille, 1804	Spilaio Mikri Grava	111	Strouhal 1966	205
20506	78	Armadillidium vulgare Latreille, 1804	Spilaio Drakotrypa	9	Beron 2016|Schmalfuss 1975	706|267
26947	78	Armadillidium vulgare Latreille, 1804	Spilaio Megali Grava	4	Strouhal 1966	205
37434	78	Armadillidium vulgare Latreille, 1804	Spilaio Kyklopa	76	Schmalfuss 1981	340
