Census_ID	Species_ID	Species	Cave_Name	Cave_ID	Reference_Short	Reference_ID
4398	864	Troglophilus sp.	Spilaio Agiou Athanasiou	93	Di Russo et al. 2014	685
31615	864	Troglophilus sp.	Spilaio Folia Drakou	119	Beron 2016|Beron et al. 2011	706|1208
47614	864	Troglophilus sp.	Spilaio Mayer	104	Di Russo et al. 2014|Alexiou et al. 2014	685|681
56794	864	Troglophilus sp.	Palio Pyli cave IV	306	Di Russo et al. 2014	685
33609	865	Troglophilus spinulosus Chopard, 1921	Spilaio Kourna	169	Allegrucci et al. 2017	723
33611	865	Troglophilus spinulosus Chopard, 1921	Spilaio Arkalospilios	140	Kollaros et al. 1991|Willemse 1984|Boudou-Saltet 1978|Chopard 1957|Wolf 1938|Wolf 1937b|Werner 1927b|Werner 1927a|Beron 2016	461|390|293|157|97|92|40|38|706
33615	865	Troglophilus spinulosus Chopard, 1921	Spilaio Sarakinas	286	Allegrucci et al. 2017	723
33618	865	Troglophilus spinulosus Chopard, 1921	Spilaio Kolympariou	250	Chopard 1921|Wolf 1937b|Wolf 1938|Boudou-Saltet 1978|Kollaros et al. 1991|Di Russo et al. 2014	32|92|97|293|461|685
33619	865	Troglophilus spinulosus Chopard, 1921	Anonymous cave at Omalos	279	Di Russo et al. 2014	685
33622	865	Troglophilus spinulosus Chopard, 1921	Spilaio Spiliara	123	Kollaros et al. 1991	461
33623	865	Troglophilus spinulosus Chopard, 1921	Spilaio Chainospilios	260	Di Russo et al. 2014|Beron 2016|Bacceti 1992	685|706|467
33625	865	Troglophilus spinulosus Chopard, 1921	Spilaio Atsiganospilios	84	Beron 2016|Di Russo et al. 2014|Gasparo 2006	706|685|598
33629	865	Troglophilus spinulosus Chopard, 1921	Spilaio Sfentoni Trypa	26	Beron 2016|Boudou-Saltet 1978|Kollaros et al. 1991|Willemse 1984	706|293|461|390
33630	865	Troglophilus spinulosus Chopard, 1921	Spilaio Skoteinospilios	414	Kollaros et al. 1991	461
42489	865	Troglophilus spinulosus Chopard, 1921	Spilaio Lera	25	Allegrucci et al. 2017	723
43082	865	Troglophilus spinulosus Chopard, 1921	Spilaio Ellinospilios	101	Chopard 1957|Boudou-Saltet 1973a|Willemse 1984|Kollaros et al. 1991|Beron 2016	157|252|390|461|706
43840	865	Troglophilus spinulosus Chopard, 1921	Spilaio Diktaio Antro	16	Beron 2016|Chopard 1957|Boudou-Saltet 1973a|Boudou-Saltet 1978|Willemse 1984|Boudou-Saltet 1985|Kollaros et al. 1991|Di Russo et al. 2014	706|157|252|293|390|392|461|685
44180	865	Troglophilus spinulosus Chopard, 1921	Spilaio Mikro Katofygi	361	Kollaros et al. 1991|Di Russo et al. 2014	461|685
55015	865	Troglophilus spinulosus Chopard, 1921	Spilaio Agias Paraskevis	13	Paragamian & Legakis 1986|Kollaros et al. 1991	414|461
59143	865	Troglophilus spinulosus Chopard, 1921	Spilaio Agias Sofias	22	Boudou-Saltet 1973a|Kollaros et al. 1991|Beron 2016|Allegrucci et al. 2017	252|461|706|723
59290	865	Troglophilus spinulosus Chopard, 1921	Spilaio Tzani Spilios	136	Boudou-Saltet 1973a|Kollaros et al. 1991|Beron 2016	252|461|706
66928	865	Troglophilus spinulosus Chopard, 1921	Spilaio Katholikou	21	Di Russo et al. 2014|Beron 2016|Chopard 1957|Boudou-Saltet 1973a|Willemse 1984|Kollaros et al. 1991	685|706|157|252|390|461
67410	865	Troglophilus spinulosus Chopard, 1921	Spilaio Panagias Arkoudiotisas	68	Boudou-Saltet 1973a|Kollaros et al. 1991	252|461
67982	865	Troglophilus spinulosus Chopard, 1921	Spilaio Achyrospilios	255	Boudou-Saltet 1973a|Willemse 1984|Kollaros et al. 1991|Di Russo et al. 2014|Beron 2016|Chopard 1957	252|390|461|685|706|157
69859	865	Troglophilus spinulosus Chopard, 1921	Spilaio Doxa	191	Di Russo et al. 2014	685
70922	865	Troglophilus spinulosus Chopard, 1921	Spilaio Milatou	15	Kollaros et al. 1991|Di Russo et al. 2014|Kollaros et al. 1987	461|685|424
63769	866	Troglophilus zoiai Di Russo, Rampini & Cobolli, 2014	Spilaio Korykeio Antro	51	Willemse 1984|Brunner Von Wattenwyl 1861|Brunner Von Wattenwyl 1882|Paragamian & Legakis 2017|Di Russo et al. 2014	390|1|6|1231|685
63770	866	Troglophilus zoiai Di Russo, Rampini & Cobolli, 2014	Spilaio Agiou Athanasiou	93	Alexiou et al. 2014|Allegrucci et al. 2017	681|723
