ID	Short	Title	Year	Section
566	Deltshev et al. 2004	Spiders (Araneae) from the Eastern Rhodopes (Bulgaria and Greece)	2004	In Beron, Petar;Popov, A. Biodiversity of Bulgaria. 2. Biodiversity of Eastern Rhodopes (Bulgaria and Greece). Publisher, Sofia. pp. 1-18.
567	Guéorguiev 2004	Adephagous and some staphyliniform beetles (Insecta: Coleoptera) in the eastern Rhodopes (Bulgaria and Greece)	2004	In Beron, Petar;Popov, A. Biodiversity of Bulgaria. 2. Biodiversity of Eastern Rhodopes (Bulgaria and Greece). Publisher, Sofia. pp. 379-411.
568	Jakvsić 2004	Biospeleological bibliography of the Balkan Peninsula	2004	Acta Entomol. Serb., 9/10 (1/2): 1-104.
569	Kiefer & Helversen 2004b	Plecotus kolombatovici (Đulić, 1980) – Balkanlangohr	2004	In Krapp, F. Handbuch der Säugetiere Europas. Band 4: Fledertiere. Teil II: Chiroptera II. Vespertilionidae 2, Molossidae, Nycteridae. Publisher. pp. 1059-1066.
570	Casale & Giachino 2004	Hystricosphodrus vailatii, nuovo genere e nuova specie dell’Isola Eubea (Grecia) (Coleoptera, Carabidae, Sphodrini)	2004	Ann. Mus. civ. St. nat. "G. Doria", 96: 341-362.
571	Stoev 2004	Centipedes (Chilopoda) from Greece in the collection of the National Museum of Natural History, Sofia	2004	Hist. Nat. Bulg., 16: 81-88.
572	Schmalfuss et al. 2004	The terrestrial isopods (Isopoda: Oniscidea) of Crete and the surrounding islands	2004	Stuttgart. Beitr. Naturk. Ser. A. (Biol.), 662: 1-74.
573	Assing 2004	A revision of the Medon species of the Eastern Mediterranean and adjacent regions (Insecta: Coleoptera: Staphylinidae: Paederinae)	2004	Bonn. Zool. Beitr., 52 (1/2): 33-82.
574	Beron et al. 2004	The Invertebrate cave fauna of the Eastern Rhodopes (Bulgaria and Greece)	2004	In Beron, Petar;Popov, A. Biodiversity of Bulgaria. 2. Biodiversity of Eastern Rhodopes (Bulgaria and Greece). Publisher. pp. 791-822.
575	Simaiakis et al. 2004	The centipede fauna (Chilopoda) of Crete and its satellite islands (Greece, Eastern mediterranean)	2004	Isr. J. Zool., 50 (December): 367-418.
576	Giachino & Lana 2005	Diaries of a biospeleologist at the beginning of the XX century	2005	Fragm. Entomol., 37 (2): 1-264.
577	Schmalfuss 2005	The terrestrial isopods (Isopoda: Oniscidea) of Greece. 21st contribution: Genus Schizidium (Armadillidiidae)	2005	Stuttgart. Beitr. Naturk. Ser. A. (Biol.), 681: 1-38.
578	Weygoldt 2005	Biogeography, systematic position, and reproduction of Charinus ioanniticus (KRITSCHER 1959) with the description of a new species from Pakistan (Chelicerata, Amblypygi, Charinidae)	2005	Senckenbergiana biol., 85 (1): 43-56.
579	Bosmans & Chatzaki 2005	A catalogue of the spiders of Greece. A critical review of all spider species cited from Greece with their localities	2005	Newsletter Belg. Arachn. Soc., 20 (2): 1-124.
580	Stagl & Stoev 2005	Type specimens of the order Callipodida (Diplopoda) in the Natural History Museum in Vienna Kataloge	2005	Kataloge der wissenschaftlichen Sammlungen des Naturhistorischen Museums in Wien, 19 (2): 1-26.
581	Simaiakis et al. 2005	The Centipede Fauna (Chilopoda) of the South Aegean Archilpelgo (Greece, Eastern Mediterranean)	2005	Isr. J. Zool., 51 (4): 241-307.
582	Gasparo 2005a	Note sulle Histopona Thorell, 1869, del gruppo Myops di Grecia, con descrizione di una nuova specie cavernicola (Araneae, Agelenidae)	2005	Atti Memorie Commissione Grotte "E. Boegan", 40: 17-35.
583	Koutrakis et al. 2005	Austropotamobius torrentium (Schrank, 1803) in the Aggitis Cave (Northern Greece). Is It a Cave-Dwelling Species?	2005	Bulletin Français de la Pêche et de la Pisciculture (376-377): 529-538.
584	Lebenbauer 2005	Eine neue Duvalius-Art von der griechischen Insel Kreta (Coleoptera: Carabidae, Trechinae)	2005	Zeitschrift der Arbeitsgemeinschaft der österreichischen Entomologen, 57: 97-104.
585	Gasparo 2005b	Una nuova Leptonetela cavernicola di Grecia (Araneae, Leptonetidae)	2005	Boll. Mus. Reg. Sci. Nat. Torino, 22 (2): 517-524.
586	Benda & Karatas 2005	On some Mediterranean populations of bats of the Myotis mystacinus morpho-group (Chiroptera : Vespertilionidae)	2005	Lynx (Prague), 36: 9-38.
587	Allegrucci et al. 2005	Molecular phylogeography of Dolichopoda cave crickets (Orthoptera, Rhaphidophoridae): A scenario suggested by mitochondrial DNA	2005	Molecular Phylogenetics and Evolution, 37 (1): 153-164.
588	Pomorski 2006	Revision of the genus Onychiuroides Bagnall, 1948 (Collembola: Onychiuridae: Onychiurinae)	2006	Insect Systematics & Evolution, 37 (1): 39-69.
589	Lane & Alivizatos 2006	Additional data on the bat species (Chiroptera : Rhinolophidae and Vespertilionidae) of the island of Thasos, north-eastern Greece	2006	Ann. Mus. Goulandris, 11: 297-301.
590	Golovatch et al. 2006	Review of the millipede genus Hyleoglomeris Verhoeff, 1910 (Diplopoda, Glomerida, Glomeridae), with descriptions of new species from caves in Southeast Asia	2006	Zoosystema, 28 (4): 887-915.
