ID	Short	Title	Year	Section
1	Brunner Von Wattenwyl 1861	Disquisitiones orthopterologicae. Dissertatio II. Nonnulla Orthoptera Europea nove vel minus cognita	1861	Verh. zool.-bot. Ges. Wien, 11: 229-310.
2	Schaum 1862	Beitrag zur Käferfauna Griechenlands	1862	Berl. ent. Z., 6: 101-114.
3	Chaudoir 1868	Description d’espèces nouvelles ou peu connues de Feronia d’Europe et du bassin méditerranéen	1868	L΄ Abeille, Paris., 5: 219-260.
4	Raulin 1869a	Description physique de l’ile de Crète. Tome second	1869	Arthus Bertrand., Paris. pp. 463-1078.
5	Raulin 1869b	Description physique de l’ile de Crète. Tome premier	1869	Arthus Bertrand., Paris. pp. 1-462.
6	Brunner Von Wattenwyl 1882	Prodromus der Europäischen Orthopteren	1882	Engelmann, Leipzig. pp. 1-466.
7	Reitter 1884	Resultate einer coleopterologischen Sammel-Campagne während den Nonateen Februar bis April 1883 auf den Jonischen Inseln	1884	Dt. ent. Z., 28: 101-122.
8	Simon 1885	Arachnides recueillies dans la vallée de Tempe sur le mont Ossa (Thessalie) par M. le Dr. J. Stussiner (de Laibach)	1885	Ann. Soc. Entomol. Fr., 6 (5): 209-217.
9	Stussiner & Böttger 1885	Malakologische Ergebnisse auf Streifzügen in Thessalien	1885	Jb. dtsch. malakol. Ges., Frankfurt a.M., 12: 128-199.
10	Reitter 1886	Übersicht der bekannten Tapinopterus arten	1886	Wien. ent. Ztg., 5: 170-174.
11	Stussiner & Böttger 1886	Malakologische Ergebnisse auf Streifzügen in Thessalien. II	1886	Jb. dtsch. malakol. Ges., Frankfurt a.M., 13: 42-74.
12	Reitter 1887	Neue Coleopteren aus Europa, den angränzenden Ländern und Sibirien, mit Bemerkungen über bekannte Arten	1887	Dt. ent. Z., 31: 241-288.
13	Martens 1889	Griechische Mollusken. Gesammelt von Eberh. von Oertzen	1889	Arch. Naturg., Berlin, 55 (1): 169-240.
14	Ganglbauer 1896	Neue und wening bekannte Carabiden	1896	Verh. zool.-bot. Ges. Wien, 46: 457-467.
15	Hamann 1896	Europäische Höhlenfauna. : Eine Darstellung der in den Höhlen Europas lebenden Tierwelt mit besonderer Berücksichtigung der Höhlenfauna Krains. Nach eigenen Untersuchungen	1896	Jena, H. Costenoble. pp. 296.
16	Fleischer 1898	Neue Trechus-Arten. (Coleoptera)	1898	Wien. ent. Ztg., 17: 57-59.
17	Werner 1902	Beiträge zur Kenntnis der Orthopterenfauna Griechenlands	1902	Berl. ent. Z., 47: 111-118.
18	Attems 1902	Myriapoden von Kreta, nebst Beiträgen zur allgemeinen Kenntnis einiger Gattungen	1902	Sber. Akad. Wiss. Wien, Math.-naturw. Kl. Abt. I, 111 (1): 527-614.
19	Kulczynski 1903	Aranearum et Opilionum species in insula Creta a Comite Dre Carolo Attems collectae	1903	Bull. Int. Acad. Sci. Lett. Cracovie: 32-58.
20	Werner 1903	Über die von Herrn Dr. Karl Grafen Attems aus Kreta mitgebrachten Orthopteren	1903	Verh. zool.-bot. Ges. Wien, 53: 65-69.
21	Apfelbeck 1904	Die Käferfauna der Balkanhalbinsel mit Berücksichtigung Klein-asiens und der Insel Kreta. Familienreihe Caraboidea	1904	Friedländer, Berlin. pp. 1-422.
22	Sturany 1904	Über einige von Herrn G. Paganetti - Hummler entdeckte Höhlenschhnecken	1904	Nachrbl. dtsch. malakol. Ges., 36 (3): 103-107.
23	Paganetti-Hummler 1905	Beitrag zur Invertebratenfauna von Korfu. Mollusken	1905	Verh. zool.-bot. Ges. Wien, 55: 118-121.
24	Bate 1905	On the mammals of Crete	1905	Proc. zool. soc. London, 2: 315-323.
25	Jeannel 1911	Revision des Bathysciinae (Coleopteres silphides): morphologie, distribution géographique, systématique	1911	Arch. Zool. exp. gen., 5 (7): 1-641.
26	Breit 1911	Beiträge zur Kenntnis der europäischen Coleopteren Fauna	1911	Wien. ent. Ztg., 30: 108-115.
27	Miller 1912	Catalogue of the mammals of Western Europe (Europe exclusive of Russia) in the collection of the British Museum	1912	British Museum (Natural History). pp. 1019.
28	Müller 1913	Beiträge zur Kenntnis der Höhlenfauna des Ost Alpen und der Balkanhalbinsel. II. Revision der Blinden Trechus-Arten	1913	Denkschr. österr. Akad. Wiss. Denkschr. Wien, math.- naturwiss, 90: 11-122.
29	Roewer 1914	Die Familien der Ischyropsalidae und Nemastomatidae der Opiliones-Palpatores	1914	Arch. Naturg., Berlin, 80 (3): 99-169.
30	Müller 1917	Systematisch-faunistische Studien über Blindkäfer. Weitere Beiträge zur Höhlen- und Subterranfauna der Ostalpen und der Balkanhalbinsel	1917	Sber. Akad. Wiss. Wien, Math.-naturw. Kl. Abt. I, 126 (1): 607-755.
31	Strand 1917	Arachnologica varia, XIX-XX	1917	Arch. Naturg., Berlin, 8 (2): 158-167.
32	Chopard 1921	Description d΄ une espèce nouvelle du genre Troglophilus	1921	Bull. Soc. entomol. Fr.: 451-151.
33	Hirst 1922	On some new parasitic mites	1922	Proc. zool. Soc. London: 769-802.
34	Roewer 1923	Die Weberknechte der Erde: systematische Bearbeitung der bisher bekannten Opiliones	1923	Jena. pp. 1116.
35	Jeannel 1924	Monographie des Bathysciinae	1924	Arch. Zool. exp. gen., 63 (1): 1-436.
36	Bolkay 1926	Additions to the mammalian fauna of the Balkan peninsula	1926	Glasn. Zem. Mus. Bosn., 38: 159-179.
37	Alfken 1927	Zoologische Steifzuge in Attica, Morea und besonders auf der Insel Kreta. II. Hymenoptera: Apidae	1927	Abh. Natwiss. Ver. Brem., 36: 432-448.
38	Werner 1927a	Orthopteren	1927	In C. F. Roewer. Zoologische Streifzüge in Attika, Morea und besonders auf der Insel Kreta I. Publisher. pp. 426-431.
39	Jeannel 1927	Monographie des Trechinae. Morphologie comparée et distribution géographique d΄un groupe de Coléoptères. IIe livraison	1927	L΄ Abeille, Paris., 33: 1-592.
40	Werner 1927b	Beiträge zur Kenntnis der Fauna Griechenlands (Reptilia - Amphibia - Scorpiones - Orthoptera - Isoptera - Apterygota)	1927	Zool. Anz., 70: 135-151.
41	Kiefer 1928	3. Beiträge zur Copepodenkunde (XI)	1928	Zool. Anz., 79: 244-250.
42	Roewer 1928	XI. Araneae	1928	 Zoologische Streifzüge in Attika, Morea und besonders auf der Insel Kreta II. Publisher, Bremen. pp. 92-124.
43	Roewer 1927	Zoologische Streifzüge in Attika, Morea und besonders auf der Insel Kreta. I	1927	Abh. Natwiss. Ver. Brem., 26 (3): 425-460.
44	Jeannel 1928	Monographie des Trechinae. Morphologie comparée et distribution géographique d΄ un groupe de Coléoptères (IIIe livraison)	1928	L΄ Abeille, Paris., 35: 1-808.
45	Werner 1929	V. Teil. Reptilia, Amphibia, Orthoptera, Embidaria und Scorpiones	1929	In M. Beier. Zoologische Forschungsreise nach den Jonischen Inseln und dem Peloponnes. Publisher. pp. 471-485.
46	Di Caporiacco 1929	Aracnidi	1929	In Ghigi A.;R. Issel;A. Brian;R. Sanducci;V. Citterio;F. Alzani. Ricerche faunistiche nelle isole Italiane dell΄Egeo. Publisher. pp. 351-372.
47	Ghigi 1929	Risultati generali e conclusioni	1929	In A. Ghigi, R. Issel, A. Brian, R. Sanducci, V. Citterio, F. Alzani. Ricerche faunistiche nelle isole Italiane dell΄Egeo. Arch. zool. ital. 13: 423-484.
48	De Beaux 1929	Mammiferi	1929	In Ghigi A.;Issel, R.;Brian, A.;Sanducci, R.;Citterio, V.;Alzani, F. Ricerche faunistiche nelle isole Italiane dell΄Egeo. Publisher. pp. 135-154.
49	Strouhal 1929	Über neue und bekannte Landasseln des Südbalkans im Berliner Zoologischen Museum. (Zugleich 4. Beitrag zur Landisopodenfauna des Balkans)	1929	Sber. Ges. naturf. Fr., 8: 229-281.
50	Jeannel 1929	Le sillon transegéen et description de Coléoptères cavernicoles nouveaux de la Grèce	1929	Bull. Soc. Sci. Cluj, 2 (4): 59-84.
51	Bau 1929	Die Pupipara der Dipteren-Sammlung Victor v. Roder	1929	Zool. Anz., 85: 9-15.
52	Chappuis 1929	Notes sur les Copépodes. 1. Une nouvelle Attheyella du Japon. 2. Moraria poppei Mrazek et Moraria brevipes Sars. 3. Copépodes de Grèce	1929	Bull. Soc. Sci. Cluj, 4 (2): 97-106.
53	Schulze 1929	Ixodoidea	1929	In Beier, M. Sitzungsberichte Akademie der Wissenschaften in Wien Abteilung I.. pp. 143-154.
54	Verhoeff 1929	Eine neue Diplopoden und eine neue Isopoden Gattung aus dem Labyrinth Kretas	1929	Mittel. Höhl. Karstf., 4: 113-123.
55	Beier 1929b	Die Pseudoskorpions des Wiener Naturhistorischen Museums. II. Panctenodactyli	1929	Ann. Naturhist. Mus. Wien, 43: 341-367.
56	Arcangeli 1929	Isopodi	1929	In Ghigi A., R. Issel, A. Brian, R. Sanducci, V. Citterio, F. Alzani. Ricerche faunistiche nelle isole Italiane dell΄Egeo. Publisher. pp. 259- 268.
57	Bezzi 1929	Ditteri	1929	In Ghigi A.;Issel, R.;Brian, A.;Sanducci, R.;Citterio, V.;Alzani, F. Ricerche faunistiche nelle isole Italiane dell΄Egeo. Publisher. pp. 135-154.
58	Beier 1929a	Zoologische Forschungreise nach den Jonischen Inseln und dem Peloponnes. I und II Teil (Pseudoscorpionidea)	1929	Sber. Akad. Wiss. Wien, Math.-naturw. Kl. Abt. I, 138 (8): 425-456.
59	Bischoff 1930	VII. Hymenoptera (Vespidae, Scoliidae, Mutillidae, Chrysididae und Evaniidae)	1930	Abh. Natwiss. Ver. Brem., 27 (1): 85-90.
60	Jeannel 1930	Monographie des Trechinae (quatrième livraison). Supplément	1930	L΄ Abeille, Paris., 34 (1): 54-123.
61	Reimoser 1930	Zoologische Forschungreise nach den Jonischen Inseln und dem Peloponnes. IX. Teil. Araneae und Opiliones	1930	Sber. Akad. Wiss. Wien, Math.-naturw. Kl. Abt. I, 139 (3-4): 143-152.
62	Karny 1930	Revision der Gryllacriden des Naturhistorischen Museum in Wien einschließlich der Coollektion Brunner von Wattenwyl	1930	Ann. Naturhist. Mus. Wien, 44: 45-198.
63	Käufel 1930	Die schalentragenden Land- und Süsswassermolusken	1930	In Beier, M. Zoologische Forschungsreise nach den Jonischen Inseln und dem Peloponnes. X. Teil. Publisher. pp. 161-188.
64	Roewer 1930	Opiliones	1930	In M. Beier. Zoologische Forschungsreise nach den Jonischen Inseln und den Peloponnes. IX. Teil. Araneae und Opiliones. Publisher. pp. 153-154.
65	Beier 1931a	Pseudoscorpionidea	1931	In Roewer C.Fr. Zoologische Streifzüge in Attika, Morea und besonders auf der Insel Kreta. III. Publisher, Bremen. pp. 91-101.
66	Beier 1931b	Zur Kenntnis der troglobionten Neobisien (Pseudoscorpione)	1931	Eos, 7: 9-23.
67	Beier 1931c	Zur Kenntnis der Chthoniiden (Pseudoscorpione)	1931	Zool. Anz., 93: 49-56.
68	Fage 1931	Araneae, 5e série, précédée d'un essai sur l'évolution souterraine et son déterminisme	1931	 Biospeologica, LV. Archives de Zoologie Expérimentale et Générale 71. pp. 91-291.
69	Müller 1931	Neue und wenig bekannte Carabiden von Leo Weirather auf der Balkanhalbinsel und in Kleinasien gesammelt	1931	Kol. Rundsch., 17: 209-223.
70	Beier 1932	Pseudoscorpionidea I. Subord Chthoniinea et Neobisiinea	1932	Das Tierreich, 57: 1-258.
71	Brölemann 1932	Lysiopetalidae (Myriapode - Diplopode) cavernicole nouveau recueilli en Grèce par M. le Dr Georges Blanc, directeur de l΄ Institut Pasteur du Maroc	1932	Bull. Soc. zool. France, 57: 45-53.
72	Denis 1933	Collemboles recoltes pair M. P. Remy en Yougoslavie et en Macedoine grecque (Note preliminaire)	1933	Ann. Soc. Entomol. Fr., 38: 211-213.
73	Rémy 1933	Sur quelqes Hirudinées des Balkans	1933	Ann. Soc. Linn., Lyon, 76: 17-24.
74	Chappuis 1933	Copépodes (Premier série). Avec l΄ énumération de tous les Copépodes cavernicoles connus en 1931	1933	Arch. Zool. exp. gen., 76: 1-57.
75	Beier 1934	Neue cavernicole und subterrane Pseudoscorpione	1934	Mittel. Höhl. Karstf., 2: 53-57.
76	Chopard 1934	Diagnoses d΄ Orthoptères cavernicoles nouveaux	1934	Bull. Soc. entomol. Fr., 39: 137-139.
77	Jeannel 1934	Bathysciinae recueillis par MM. P. Remy et R. Husson dans le Sandjak de Novi-Pazar et la Macédoine Grecque	1934	Rev. fr. Ent., 1 (2): 89-103.
78	Mařan 1934	Nové druhy a formy Carabidů z ostrova Kréty. De novis carabidarum speciebus formis-que ex insula Creta	1934	Sbornik entom. odd. N. musea v. Praze, 12 (98): 125-128.
79	Müller 1934	Diagnosi preliminari di nuovi Coleotteri ipogei e cavernicoli	1934	Atti Mus. Civ. Stor. Natur. Trieste, 12: 176-181.
80	Menozzi 1935	Nuovi contributi alla conoscenza della fauna delle isole italiane del΄ Egeo. IV. Una nuova species di Troglophilus Krauss di Rodi (Orthoptera-Phasgonuridae)	1935	Boll. Lab. Zool. gen. agr. Portici, 28: 192-196.
81	Arcangeli 1935	Nuovi contributi alla conoscenza della fauna delle isole dell΄Egeo. III. Isopodi Terrestri	1935	Boll. Lab. Zool. gen. agr. Portici, 28: 37-69.
82	Denis 1935	Collemboles récoltes en Yougoslavie et en Macédoine Grecque par M. Paul Remy en 1930	1935	Ann. Soc. Entomol. Fr., 104: 329-344.
83	Jeannel 1936	Nouveaux Trechini des Egeides	1936	Rev. Fr. Ent., 3: 230-233.
84	Drensky 1936	Katalog der echten Spinnen (Araneae) der Balkanhalbinsel	1936	Ann. Acad. Bulg. Sci., 32: 1-223.
85	Strouhal 1936a	Die Landasseln der Inseln Korfu, Leukas und Kephalonia. (7. Beitrag zur Landisopodenfauna des Balkans)	1936	Acta Inst. Mus. Zool. Univ. Atheniensis, 1: 55-111.
86	Strouhal 1936b	XVII. Teil. Isopoda terrestria; I.: Ligiidae, Trichoniscidae, Oniscidae, Porcellionidae	1936	In Beier, M. Zoologische Forschungsreise nach den Ionischen Inseln und dem Peloponnes. Publisher. pp. 153-177.
87	Scheibel 1937	Neue Trechini aus Griechenland und Albanien	1937	Ent. Bl., 33 (4): 273-283.
89	Wolf 1937a	Animalium Cavernarum Catalogus. I. - Praefatio, introductio, bibliographia	1937	Junk Verl., Wien (1934-1937). pp. 106.
90	Salfi 1937	Ortotteri di Valona (Albania) e di Rodi (Egeo)	1937	Annuar. Inst. Mus. Zool. Univ. Napoli, 7: 1-6.
91	Kratochvil 1937	Étude sur les araignées cavernicoles du genre Hadites	1937	Acta Societatis Scientiarum naturalium Moravicae, 11 (1): 1-28.
92	Wolf 1937b	Animalium Cavernarum Catalogus. II. - Cavernarum Catalogus	1937	Junk Verl., Wien (1934-1937). pp. 616.
93	Strouhal 1937	Isopoda terrestria Aegaei. (10. Beitrag zur Landisopodenfauna des Balkans)	1937	Acta Inst. Mus. Zool. Univ. Atheniensis, 1 (9/10): 193-262.
95	Černosvitov 1938a	Zur Kenntnis der Oligochaetenfauna des Balkans. VI. Oligohaeten aus Griechenland	1938	Zool. Anz., 123: 192-200.
96	Černosvitov 1938b	Note sur les Oligochètes cavernicoles	1938	Mem. Soc. Zool. Tchecosl., 5: 125-133.
97	Wolf 1938	Animalium Cavernarum Catalogus. III. - Animalium Catalogus	1938	Junk Verl., Wien (1934-1938). pp. 918.
98	Frankenberger 1939	Sur un nouvel Isopode cavernicole de la Grèce, Hellenonethes g.n. vejdovskyi sp. n	1939	Vestn. ceskol.Spol. zool., 6-7: 139-146.
99	Rémy & Schweitzer 1939	Oligochètes balkaniques	1939	Bull. Mus. Hist. nat., Paris, 11 (6): 550-556.
100	Strouhal 1940	Moserius percoi nov. gen., nov. spec., eine neue Höhlen-Höckerassel, nebst einer Übersicht über die Haplophthalminen. (27. Beitrag zur Landisopodenfauna des Balkans)	1940	Zool. Anz., 129: 13-20.
101	Frankenberger 1940	Über zwei neue Hyloniscus - Arten von der Balkanhalbinsel	1940	Zool. Anz., 130: 73-78.
102	Hadjissarantos 1940	Les Araignées de l’Attique	1940	. pp. 1-132.
103	Chopard 1940	Orthoptères cavernicoles recueillis par P. Remy en Yougoslavie et en Macédoine. Comparaison entre la distribution des Orthoptères et des Coléoptères cavernicoles d΄ Europe	1940	 6eme Congres Intern. Ent. Madrid., Madrid. pp. 509-514.
104	Klie 1941	Suesswasserostracoden aus Südosteuropa	1941	Zool. Anz., 133 (11-12): 233-244.
105	Verhoeff 1941	Über eine neue cavernicole Lysiopetalum-Art	1941	Zeit. Karst. Höhlenk.: 46-50.
106	Wettstein 1941	Die Saeugerwelt der Aegaeis, nebst einer Revision des Rassenkreises von Erinaceus europaeus	1941	Ann. Naturhist. Mus. Wien, 52: 245-278.
107	Strouhal 1942	Vorläufige Mitteilung über die von Max Beier in Nordwestgriechenland gesammelten Asseln. (30. Beitrag zur Landisopodenfauna des Balkans)	1942	Zool. Anz., 138: 145-162.
108	Fage 1943	Description d΄ une Leptonete de Corse suivie de remarques sur les Araignées cavernicoles du genre Stalita	1943	Bull. Mus. Hist. nat., Paris, 15 (4): 171-174.
109	Roewer 1943	Über eine neuerworbene Sammlung von Skorpionen des Natur - Museums Senckenberg	1943	Senckenbergiana, 26 (4): 205-244.
110	Fage 1945	A propos de quelques Araignées cavernicoles de Crète	1945	Bull. Mus. Hist. nat., Paris, 17 (2): 109-114.
111	Kanellis 1946	The cave fauna of Greece. (In Greek)	1946	To Vouno: 32-36.
112	Vandel 1946	Isopodes terrestres récoltés par M. le Professeur Remy au cours de ses voyages dans les régions balkaniques	1946	Ann. Sci. nat. Zool., 11 (8): 151-194.
113	Di Caporiacco 1948	L΄ Aracnofauna di Rodi	1948	Redia, 33: 27-75.
114	Jeannel & Jarrige 1949	Biospeologica. LXVIII. Coléoptères Staphylinides (Première Série)	1949	Arch. Zool. exp. gen., 86: 255-392.
115	Lengersdof 1949	Fangergebnisse aus südeuropäischen Höhlen	1949	Mitt. dtsch. Ges. Karstf., 2: 3.
116	Roewer 1950	Über Ischyropsalididae und Trogulidae	1950	Senckenbergiana, 31 (1-2): 11-56.
117	Karaman 1951	Neue Amphipoden der unterirdischen Fauna Griechenlands	1951	Rad Jugoslavenske Akademije Znanosti i Umjetnosti, 28: 43-50.
118	Rémy 1951	Description de grottes de Macédoine grecque	1951	Ann. Speleol., 6 (2-3): 107-118.
119	Husson 1952	Dolichopoda, genre méditerranéen d΄ orthoptère "cavernicole"	1952	Annls. Univ. Saravinensis, 1: 115-117.
120	Ruffo 1953	Nuove osservazioni sul genere Salentinella Ruffo (Amphipoda Gammaridae)	1953	Boll. Soc. Entom. It., 83: 56-66.
121	Lindberg 1953a	Cyclopides (Crustacés Copépodes) de la Grèce	1953	Prak. hellen. hydrobiol. Inst., 6 (2): 19-40.
122	Lindberg 1953b	Crustacés inférieurs de grottes helléniques	1953	Bull. Soc. Speleol. Grèce, 2 (1): 5-8.
123	Pohle 1953	Über Fledertiere von Kreta	1953	In Zimmermann, K.;von Wettstein, O.;Siewert, H.;Pohle, H. Die Wildsäuger von Kreta. Publisher. pp. 14-20.
124	Lindberg 1953c	Les cyclopides (Crustacés copépodes) très évolues en tant qu΄ habitants des eaux souterraines. Revue des travaux récents concernant les Bryocyclops Kiefer et Speocyclops Kiefer	1953	Premier congr. int. speleol., Publications, 3 (3): 71-83.
125	Chappuis 1953	Notes sur le Copépodes. 15. Un nouveau Parastenocaris de la vallée supérieure de la Weser (Hanovre). 16. Un nouvel Harpacticidae cavernicole de Grèce 17. Copépodes Haparcticoides de la grotte du Bosc (Tarn et Garonne)	1953	Notes Biospeol., 8 (1): 81-90.
126	Schuurmans Stekhoven & Mawson 1954	Free living nematodes, mostly from Asia	1954	Ark. Zool., 7: 273-279.
127	Peus 1954	Kenntnis der Flöhe Griechenlands (Siphonaptera)	1954	Bonn. Zool. Beitr.: 111-147.
128	Karaman 1954	Über einige neue Coleopteren der Balkanfauna	1954	Fragm. Balc., Skopje, 1 (6): 45-48.
129	Janetschek 1954	Über Felsenspringer der Mittelmeerländer (Thysanura Machilidae)	1954	Eos, 30: 163-314.
130	Strouhal 1954	IV. Teil. Isopoda Terrestria. I. Ligiidae, Trichoniscidae, Oniscidae, Porcelionidae, Squamiferidae. (22. Beitrag zur Landisopodenfauna des Balkans. I. Häfte)	1954	In M. Beier. Zoologische Studien in West Griechenland. Publisher. pp. 559-601.
131	Chopard 1954	Contribution à l΄ étude des Orthopteroides cavernicoles	1954	Notes biospeol., 9: 27-36.
132	Lindberg 1954	Découverte en Grèce du Speocyclops demetiensis (Scourfield) (Crustacé copépode)	1954	Notes Biospeol., 9 (2): 167-170.
133	Lindberg 1955a	Notes sur le grottes de l΄ île de Crète	1955	Fragm. balc., Skopje, 1 (19): 165-174.
134	Coiffait 1955	Sur quelques Coléoptères cavernicoles de Grèce	1955	Notes Biospeol., 10 (2): 205-209.
135	Omodeo 1955	Lombrichi cavernicoli di Grecia e Turchia raccolti dal Dr. K. Lindberg	1955	Ann. Inst. Mus. Zool. Univ. Napoli, 7: 1-16.
136	Chappuis 1955	Notes sur le Copépodes. 18. Un nouveaux Harpacticoides des Pyrénées. 19. Harpacticoides cavernicoles de Grèce, 20. Copépodes Haparcticoides des Iles Pacifique	1955	Notes Biospeol., 10 (1): 89-101.
137	Chopard 1955	Les Dolichopodes de Grèce	1955	Notes biospeol., 10: 31-34.
138	Buturovic 1955	Contribution à la connaissance d'Isopodes terrestres des grottes de Macédoine	1955	Fragm. balc., Skopje, 1 (14): 117-124.
139	Aellen 1955	Etude d΄ une collection de Nycterobiidae et de Streblidae (Diptera, Pupipara) de la région Palearctique occidentale, particulièrement de la Suisse	1955	Bull. Soc. neuchatel. Sci. nat., 78: 81-104.
140	Strinati 1955	Recherches biospeologiques en Attique	1955	Stalactite, 5: 7-9.
141	Lindberg 1955b	Cyclopides (Crustacés copépodes) de la Grèce II	1955	Fragm. Balc., Skopje, 1 (23): 189-195.
142	Lindberg 1955c	Cyclopides (Crustacés copèpodes) nouveaux de ľíle de Crète et du Pérou	1955	Kungl. Fys. Sällsk. i Lund Forh., 25 (11): 1-7.
143	Vandel 1955	Isopodes terrestres récoltés dans les grottes de l΄ Attique par M. Pierre Strinati	1955	Notes biospeol., 10 (1): 51-61.
1182	Wagner 1994	A monographic review of the Thermosbaenacea (Crustacea: Peracarida). A study on their morphology, taxonomy, phylogeny and biogeography.	1994	Zoologische Verhandelingen, 291 (1):1–338.
145	Lindberg 1955d	Notes sur le grottes de la Grèce	1955	Acta Mus. Macedonici Sci. Nat., 3 (2): 41-69.
146	Condé 1956	Campodeides cavernicoles de Grèce	1956	Notes biospeol., 11 (1): 7-12.
147	Arthur 1956	The Ixodes ticks of Chiroptera (Ixodoidea: Ixodidae)	1956	J. Parasit., 42: 180-196.
148	Strouhal 1956	Isopoda Terrestria. II. Armadillidiidae. (22. Beitrag zur Landisopodenfauna des Balkans. I. Haefte)	1956	In M. Beier. Zoologische Studien in West Griechenland. Publisher. pp. 585-618.
149	Omodeo 1956a	Oligocheti dell΄ Indochina e del Mediterraneo Orientale	1956	Mem. Mus. Civ. St. Nat. Verona, 5: 321-336.
150	Chamberlin 1956	On a collection of chilopods from Crete	1956	Ent. news, 67: 51-53.
151	Lindberg 1956	Cyclopides (Crustacés copépodes) de Crète avec un liste de Crustacés divers recueillis dans de lac de Kourna	1956	Acta Mus. Macedonici Sci. Nat., 4 (5): 97-120.
152	Chappuis 1956	Harpacticoides récoltes en Crète par M. K. Lindberg	1956	Folia Balcanica, 1 (3): 15-18.
153	Omodeo 1956b	Contributo alla revisione dei Lumbricidae	1956	Arch. Zool. Ital., 41: 129-212.
154	Karaman 1956	III Beitrag zur Kenntnis griechischer Niphargiden	1956	Folia Balcanica, 1: 1-8.
155	Verrier 1956	Éphéméropères capturés dans l'île de Crête par M. K. Lindberg	1956	Bull. Soc. entomol. Fr., 61: 95-96.
156	Lanza 1957	Su alcuni Chirotteri della Penisola Balcanica. Presenza di "Eptesicus nilssoni nilssoni" (Keyserling e Blasius, 1839) in Iugoslavia	1957	Monit. zool. Ital., 115 (1-2): 3-6.
157	Chopard 1957	Notes sur les Orthoptères cavernicoles de Crète	1957	Bull. Soc. entomol. Fr., 62 (1-2): 26-28.
158	Beier 1956	Über einige Pseudoskorpione von Kreta	1956	Entomol. Nachr. Ber., 8 (3): 8-9.
159	Janetschek 1957	Über Felsenspringer aus Kreta und der Balkanländern (Thysanura, Machilidae)	1957	Acta Zool. Cracov., 2 (7): 151-191.
161	Riedel 1958	Über Oxychilus samius (Martens, 1889) (Gastropoda, Zonitidae)	1958	Mitt. zool. Mus. Berlin, 34: 109-111.
162	Mařan 1958	Beitrag zur Kenntnis der geographische Variabilität von Troglophilus neglectus Krauss., Orthoptera Raphidophoridae	1958	Sb. ent. Odd. narod. Mus. Prag., 32 (511): 387-393.
163	Vandel 1958	Isopodes récoltés dans les grottes de la Crète par le Docteur K. Lindberg	1958	Notes biospeol., 12 (2): 81-101.
165	Wygodzinsky 1958	Notes et descriptions de Machilida et Thysanura Paléarctiques	1958	Rev. Fr. Ent., 25: 298-315.
166	Kritscher 1959	Ergebnisse der von Dr. 0. Paget und Dr. E. Kritscher auf Rhodos durchgeführten zoologischen Exkursionen. II. Pedipalpi (Amblypygi)	1959	Annnl. naturhist. Mus. Wien, 63: 453-457.
167	Attems 1959	Die Myriapoden der Höhlen der Balkanhalbinsel. Nach dem Material der "Biospeologica balcanica"	1959	Ann. Naturhist. Mus. Wien, 63: 281-406.
168	Vandel 1959	La faune isopodique cavernicole de la Grèce continentale (Récoltes du Dr. K. Lindberg, Lund)	1959	Notes biospeol., 13 (2): 131-139.
169	Riedel 1959	Die von Dr. K. Lindberg in Griechenland gesammelten Zonitidae (Gastropoda)	1959	Ann. Zool. (Wars.), 18 (6): 89-117.
170	Roewer 1959	Die Araneae, Solifuga und Opiliones der Sammlungen des Herrn Dr. K. Lindberg aus Griechenland, Creta, Anatolien, Iran und Indien	1959	Göteborgs kungl. vet. vitterh. Samh. Handl., 8 (4): 3-47.
171	Kahmann 1959	Beitrag zur Kenntnis der Fledermaeus-Fauna auf der Insel Kreta	1959	Säugetierk. Mitt., 7: 153-156.
172	Andrássy 1959	Nematoden aus der Tropfsteinhöhle "Baradla" bei Aggtelek (Ungarn), nebst einer Übersicht der bisher aus Höhlen bekannten freilebenden Nematoden-Arten. (Biospeologica Hungarica I.)	1959	Acta Zool. Acad. Sci. Hung., 4 (3-4): 253-277.
173	Strinati 1959	Mission Coiffait-Strinati en Macedoine, Grece et Turque (avril-Mai 1955). Chiroptera	1959	Mammalia, 23: 72-76.
174	Cooreman 1960	Une nouvelle espèce du genre Neotrombidium Leonardi: N. helladicum n. sp	1960	Bull. Ann. Soc. roy. ent. Belg., 96 (9-10): 195-204.
175	Riedel 1960	Die Gattung Lindbergia Riedel (Gastropoda Zonitidae) nebst Angaben über Vitrea illyrica (A. J. Wagner)	1960	Ann. Zool. (Wars.), 18: 333-346.
176	Aellen 1960	Notes sur le puces des Chauves-souris, prinsipalement de la Suisse (Siphonaptera: Ischnopsyllidae)	1960	Bull. Soc. neuchatel. Sci. nat., 83: 81-104.
177	Wenz & Zilch 1960	Gastropoda. Teil 2. Euthyneura	1960	Handb. Palaeozool.Gebruder Borntraeger, Berlin. pp. 1-834.
178	Strouhal 1961	Eine neue Höckerassel von Korfu (Isopoda, Terrestria). (31. Beitrag zur Isopodenfauna der Balkanhalbinsel)	1961	Ann. Naturhist. Mus. Wien, 64: 178-184.
180	Klemm 1962	Die Gehäuseschnecken	1962	In M. Beier. Zoologische Studien in West Griechenland, X. Teil. Publisher. pp. 203-258.
181	Böttger 1962	Schalen juveniler Wurmschnecken (Fam. Vermetidae) in einer Höhle der Insel Kreta	1962	Arch. Molluskenk., 91 (1/3): 57-59.
